profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23
medium_roughness_0142,medium_roughness,85.0,85.0,100.0,100.0,1.8190321497968398e-05,431.70501708984375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,752.7092895507812,3.8792404666310176e-05,6.343002314679325e-05,2.409977423667442e-05,261.53485107421875,1076.184814453125
low_roughness_0102,low_roughness,85.0,85.0,100.0,100.0,1.0615522114676423e-05,192.48983764648438,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,718.2923583984375,0.00017913893680088222,0.0001301961310673505,1.4737994206370786e-05,1.977646752493456e-05,2.1163010597229004
high_roughness_0063,high_roughness,85.0,85.0,100.0,100.0,1133.1602783203125,1.6251704437308945e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,2.0349763872218318e-05,1.2632154721359257e-05,2.267581112391781e-05,1201.79736328125,1284.429931640625,1113.7230224609375
high_roughness_0049,high_roughness,85.0,85.0,100.0,100.0,5.63481717108516e-06,297.9383239746094,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,975.7434692382812,0.00020780776685569435,226.45932006835938,8.183257705240976e-06,1.4963787180022337e-05,28.768922805786133
low_roughness_0263,low_roughness,85.0,85.0,100.0,100.0,1272.58251953125,2.0358402252895758e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,2.593995122879278e-05,5.337296170182526e-05,1267.1053466796875,1295.624267578125,618.5367431640625,726.4015502929688
low_roughness_0358,low_roughness,85.0,85.0,100.0,100.0,1228.6728515625,3.141911656712182e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,3.757743979804218e-05,2.851614226528909e-05,2.0460332962102257e-05,1263.859130859375,1295.9022216796875,1035.5137939453125
medium_roughness_0156,medium_roughness,85.0,85.0,100.0,100.0,468.355712890625,1.1529157745826524e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.4952987839933485e-05,8.47000592330005e-06,1322.641357421875,1052.30859375,0.00010723203740781173,1427.5164794921875
high_roughness_0003,high_roughness,85.0,85.0,100.0,100.0,3.203783535354887e-06,3.181077545377775e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,3.845870651275618e-06,3.5607961308414815e-06,1537.18017578125,3.9236197153513785e-06,3.4393581245240057e-06,1535.321533203125
medium_roughness_0395,medium_roughness,85.0,85.0,100.0,100.0,7.00663485986297e-06,3.43247347700526e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,4.141998942941427e-06,1560.0989990234375,330.3253173828125,6.76076388117508e-06,3.871068656735588e-06,2.095938270940678e-06
medium_roughness_0253,medium_roughness,85.0,85.0,100.0,100.0,958.0682983398438,0.003682277165353298,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,937.4431762695312,1543.0970458984375,461.5169372558594,434.81756591796875,7.180975808296353e-05,3.313660272397101e-05
medium_roughness_0261,medium_roughness,85.0,85.0,100.0,100.0,1.3741455404669978e-05,8.225961937569082e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,446.2199401855469,1.5855990568525158e-05,145.55072021484375,1.6023397620301694e-05,1.6650576071697287e-05,724.3064575195312
low_roughness_0327,low_roughness,85.0,85.0,100.0,100.0,1.5232151781674474e-05,920.5042724609375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1073.865966796875,0.00079551269300282,1366.6676025390625,1.9259909095126204e-05,1.6101983419503085e-05,1387.780029296875
low_roughness_0363,low_roughness,85.0,85.0,100.0,100.0,5.153726760909194e-06,8.035710379772354e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.0371425560151692e-05,1.1943417121074162e-05,1185.985107421875,5.86332862440031e-06,4.7204139264067635e-06,0.05298484489321709
low_roughness_0289,low_roughness,85.0,85.0,100.0,100.0,3.0423560019698925e-05,0.0010527997510507703,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,4.016709863208234e-05,1.486829569330439e-05,1.4153741176414769e-05,76.4177474975586,1398.5142822265625,67.54199981689453
low_roughness_0299,low_roughness,85.0,85.0,100.0,100.0,459.5185241699219,754.9413452148438,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,457.1307678222656,0.0007072965381667018,0.00015100407472345978,864.2490844726562,1279.169921875,123.97248840332031
low_roughness_0222,low_roughness,85.0,85.0,100.0,100.0,223.96243286132812,809.5789794921875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,826.8363037109375,1012.6796264648438,0.00014528169413097203,122.22640991210938,767.80517578125,0.0001407675736118108
high_roughness_0244,high_roughness,85.0,85.0,100.0,100.0,690.3904418945312,1.261445868294686e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.647131830395665e-05,2.5184155674651265e-05,1099.45849609375,1032.3226318359375,8.859140507411212e-05,0.0011199997970834374
