t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
2.6100628931,-0.3339138214,-2.7241989639,-75.2404233739,1.4838845009,-76.7243078748,204.9698833968,209.0122800167,241.1410392904,245.8968000196,241.1410392904,245.8968000196,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.6415094340,-0.4065869437,-2.3110052918,-81.3088573060,1.7914196475,-83.1002769535,187.9051995026,192.0451797879,221.0649405913,225.9355056328,221.0649405913,225.9355056328,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.6729559748,-0.4634386419,-1.8078840025,-86.0561526346,2.0282406848,-88.0843933193,155.5795416642,159.2463655514,183.0347548991,187.3486653546,183.0347548991,187.3486653546,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.7044025157,-0.5022566589,-1.2344129390,-89.2975789489,2.1774960822,-91.4750750310,110.2300868750,112.9180162135,129.6824551471,132.8447249570,129.6824551471,132.8447249570,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.7358490566,-0.5215304780,-0.6129074488,-90.9070033724,2.2555897615,-93.1625931340,55.7175795165,57.1000472828,65.5500935488,67.1765262151,65.5500935488,67.1765262151,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.7672955975,-0.5205101017,0.0324479679,-90.8217987431,2.2480023159,-93.0698010590,-2.9469828096,-3.0199259166,1.1787931238,1.2079703666,0.0000000000,0.0000000000,2.9469828096,3.0199259166,1.7681896858,1.8119555500
2.7987421384,-0.4992352355,0.6765407443,-89.0452806088,2.1590838326,-91.2043644414,-60.2427604189,-61.7034686020,24.0971041676,24.6813874408,0.0000000000,0.0000000000,60.2427604189,61.7034686020,36.1456562513,37.0220811612
2.8301886792,-0.4585337435,1.2943074464,-85.6465782112,1.9989266349,-87.6455048461,-110.8530039352,-113.4402295635,44.3412015741,45.3760918254,0.0000000000,0.0000000000,110.8530039352,113.4402295635,66.5118023611,68.0641377381
2.8616352201,-0.3999894334,1.8617090606,-80.7579444745,1.7599111507,-82.5178556252,-150.3477969434,-153.6242394786,60.1391187774,61.4496957914,0.0000000000,0.0000000000,150.3477969434,153.6242394786,90.2086781661,92.1745436871
2.8930817610,-0.3258804265,2.3566664185,-74.5696096786,1.4455360245,-76.0151457031,-175.7356949703,-179.1423411761,70.2942779881,71.6569364704,0.0000000000,0.0000000000,175.7356949703,179.1423411761,105.4414169822,107.4854047056
2.9245283019,-0.2390905096,2.7599193583,-67.3223790715,1.0781072654,-68.4004863369,-185.8043372462,-188.7798263584,74.3217348985,75.5119305433,0.0000000000,0.0000000000,185.8043372462,188.7798263584,111.4826023477,113.2678958150
2.9559748428,-0.1429969187,3.0557761911,-59.2982624703,0.6553770476,-59.9536395178,-181.2022186323,-183.2049042104,72.4808874529,73.2819616842,0.0000000000,0.0000000000,181.2022186323,183.2049042104,108.7213311794,109.9229425263
2.9874213836,-0.0413389216,3.2327243081,-36.8239556362,0.1871854816,-37.0111411178,-119.0416965069,-119.6468155633,47.6166786028,47.8587262253,0.0000000000,0.0000000000,119.0416965069,119.6468155633,71.4250179042,71.7880893380
3.0188679245,0.0619276875,3.2838781679,-7.2675788308,-16.8345968818,9.5670180509,-23.8658434564,31.4169217098,9.5463373825,36.9610843645,0.0000000000,36.9610843645,23.8658434564,0.0000000000,14.3195060738,0.0000000000
3.0503144654,0.1627845187,3.2072472322,21.5990851727,-0.8010411251,22.4001262978,69.2736061377,71.8427430690,81.4983601620,84.5208741989,81.4983601620,84.5208741989,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.0817610063,0.2573069534,3.0058134228,-29.8295643734,-1.1656043645,-28.6639600090,-89.6621049905,-86.1585157462,35.8648419962,34.4634062985,0.0000000000,0.0000000000,89.6621049905,86.1585157462,53.7972629943,51.6951094477
3.1132075472,0.3418168618,2.6874150873,-82.4993803935,-52.0087061387,-30.4906742548,-221.7100795655,-81.9410980156,88.6840318262,32.7764392062,0.0000000000,0.0000000000,221.7100795655,81.9410980156,133.0260477393,49.1646588093
3.1446540881,0.4130257293,2.2644419869,-69.7983204386,-76.6807767306,6.8824562920,-158.0542474163,15.5849230006,63.2216989665,18.3352035301,0.0000000000,18.3352035301,158.0542474163,0.0000000000,94.8325484498,0.0000000000
3.1761006289,0.4681626216,1.7533531764,-41.1697003937,-52.7511182395,11.5814178459,-72.1850249585,20.3063157678,28.8740099834,23.8897832562,0.0000000000,23.8897832562,72.1850249585,0.0000000000,43.3110149751,0.0000000000
3.2075471698,0.5050820096,1.1740365373,-22.0001192758,-22.3518773829,0.3517581071,-25.8289438539,0.4129768701,10.3315775415,0.4858551412,0.0000000000,0.4858551412,25.8289438539,0.0000000000,15.4973663123,0.0000000000
3.2389937107,0.5223472575,0.5490348844,-13.0355185844,-8.1477632047,-4.8877553797,-7.1569544395,-2.6835482100,2.8627817758,1.0734192840,0.0000000000,0.0000000000,7.1569544395,2.6835482100,4.2941726637,1.6101289260
3.2704402516,0.5192865268,-0.0973312365,-14.6247357636,-11.5497977779,-3.0749379857,1.4234436158,0.2992875164,1.6746395480,0.3521029605,1.6746395480,0.3521029605,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.3018867925,0.4960189190,-0.7399099295,-26.7059299709,-27.6438375969,0.9379076260,19.7599827614,-0.6939671654,23.2470385428,0.2775868662,23.2470385428,0.0000000000,0.0000000000,0.6939671654,0.0000000000,0.4163802992
3.3333333333,0.4534498411,-1.3536966776,-48.8089884758,-50.5953436012,1.7863551255,66.0725655360,-2.4181829983,77.7324300423,0.9672731993,77.7324300423,0.0000000000,0.0000000000,2.4181829983,0.0000000000,1.4509097990
3.3647798742,0.3932357738,-1.9148073383,-80.0738200484,-67.2970398118,-12.7767802366,153.3259382380,24.4650725574,180.3834567506,28.7824383028,180.3834567506,28.7824383028,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.3962264151,0.3177198134,-2.4014075417,-67.4811756768,-75.8404505543,8.3592748774,162.0498041946,-20.0740257340,190.6468284642,8.0296102936,190.6468284642,0.0000000000,0.0000000000,20.0740257340,0.0000000000,12.0444154404
3.4276729560,0.2298404950,-2.7945623260,-12.7114141098,-56.8455480804,44.1341339706,35.5228389810,-123.3355880831,41.7915752718,49.3342352332,41.7915752718,0.0000000000,0.0000000000,123.3355880831,0.0000000000,74.0013528498
3.4591194969,0.1330174462,-3.0789729494,13.0793243545,-0.6301575389,13.7094818934,-40.2708858839,-42.2111239001,16.1083543536,16.8844495600,0.0000000000,0.0000000000,40.2708858839,42.2111239001,24.1625315303,25.3266743401
3.4905660377,0.0310183202,-3.2435722069,-16.1142807184,-0.1526362044,-15.9616445140,52.2678330723,51.7727465220,61.4915683203,60.9091135553,61.4915683203,60.9091135553,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.5220125786,-0.0721878145,-3.2819550854,-45.6533489182,0.3357617911,-45.9891107092,149.8322406477,150.9341957654,176.2732242914,177.5696420770,176.2732242914,177.5696420770,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.5534591195,-0.1725849215,-3.1926280008,-61.7689536174,0.7802908947,-62.5492445121,197.2052908999,199.6964694591,232.0062245882,234.9370228930,232.0062245882,234.9370228930,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.5849056604,-0.2662662711,-2.9790669174,-69.5916404939,1.1743802127,-70.7660207067,207.3181539239,210.8167111640,243.9037104987,248.0196601930,243.9037104987,248.0196601930,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.6163522013,-0.3495864625,-2.6495820885,-76.5491381288,1.5474430481,-78.0965811769,202.8232252759,206.9233026592,238.6155591482,243.4391795990,238.6155591482,243.4391795990,0.0000000000,0.0000000000,0.0000000000,0.0000000000
