profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0089,rough_terrain,0.724699,8.045309,90.554496,6.676300,17.956901
rough_terrain_0012,rough_terrain,0.589733,8.280250,79.215217,6.586971,30.312206
mixed_terrain_0094,mixed_terrain,0.572475,8.041423,66.213019,6.148432,17.118914
rough_terrain_0008,rough_terrain,0.584501,8.782609,77.755070,7.000351,17.216250
mixed_terrain_0019,mixed_terrain,0.497618,12.917442,51.196543,10.038172,25.980212
rough_terrain_0026,rough_terrain,0.604959,3.911690,96.614927,3.447834,8.653686
flat_terrain_0062,flat_terrain,0.438648,2.802974,86.854323,2.244729,9.276643
rough_terrain_0097,rough_terrain,0.764657,5.877957,92.207591,4.523600,21.951339
mixed_terrain_0065,mixed_terrain,0.548394,9.073129,83.601855,7.151990,33.458244
flat_terrain_0049,flat_terrain,0.420729,4.424795,94.326121,3.608189,10.290423
rough_terrain_0075,rough_terrain,0.687764,1.795777,84.144397,1.511627,4.725779
mixed_terrain_0001,mixed_terrain,0.480965,4.611873,91.865663,3.436382,14.921555
rough_terrain_0092,rough_terrain,0.732098,11.799729,83.448663,8.797764,38.120483
rough_terrain_0030,rough_terrain,0.611476,9.557702,65.994363,7.187288,19.680622
rough_terrain_0023,rough_terrain,0.604209,5.511153,91.782683,4.582097,22.991540
mixed_terrain_0051,mixed_terrain,0.532094,3.685188,94.922136,3.177053,8.324288
flat_terrain_0019,flat_terrain,0.370120,4.738187,93.863002,3.966150,14.703994
mixed_terrain_0007,mixed_terrain,0.485667,16.466782,-81.311972,14.291316,28.847222
flat_terrain_0056,flat_terrain,0.432468,4.182282,79.147266,3.287029,8.956228
mixed_terrain_0079,mixed_terrain,0.558371,3.916068,86.273247,3.043335,11.929919
mixed_terrain_0010,mixed_terrain,0.488411,7.773282,64.830930,6.061752,22.836968
mixed_terrain_0046,mixed_terrain,0.524617,6.113611,88.762562,4.852178,14.134395
mixed_terrain_0098,mixed_terrain,0.574406,7.941690,40.101716,6.129309,17.395006
rough_terrain_0070,rough_terrain,0.683961,7.745848,61.702755,6.162144,15.852817
mixed_terrain_0058,mixed_terrain,0.539737,7.790464,84.182725,5.699864,40.834801
flat_terrain_0022,flat_terrain,0.382529,6.640503,76.690043,4.580996,16.054470
mixed_terrain_0087,mixed_terrain,0.568322,8.295579,92.991725,6.900089,26.049147
flat_terrain_0010,flat_terrain,0.342332,2.477331,87.804980,1.870545,6.634919
flat_terrain_0089,flat_terrain,0.469532,4.078021,76.902267,3.005979,21.443878
rough_terrain_0046,rough_terrain,0.631431,5.583708,84.924667,4.055613,22.553253
flat_terrain_0027,flat_terrain,0.389663,3.480575,90.599225,2.757738,8.343647
rough_terrain_0067,rough_terrain,0.677645,6.964788,90.849608,5.003905,25.803907
flat_terrain_0081,flat_terrain,0.460244,12.627590,64.783104,10.496569,41.303900
flat_terrain_0002,flat_terrain,0.300660,2.411510,98.018956,1.844419,6.079713
rough_terrain_0042,rough_terrain,0.625299,12.694461,24.278645,10.560255,20.460360
flat_terrain_0030,flat_terrain,0.389924,2.296888,96.495766,1.785382,9.573361
flat_terrain_0039,flat_terrain,0.412608,8.823683,83.157232,6.406454,27.221911
mixed_terrain_0022,mixed_terrain,0.501658,4.257076,90.833721,3.564232,13.196093
flat_terrain_0060,flat_terrain,0.436990,1.310837,94.073643,1.174042,3.000454
flat_terrain_0007,flat_terrain,0.318810,5.144051,77.659624,3.640351,12.548285
mixed_terrain_0013,mixed_terrain,0.492374,14.366349,66.681715,10.720205,31.292742
mixed_terrain_0088,mixed_terrain,0.568371,6.021554,66.883469,4.305877,17.558506
mixed_terrain_0048,mixed_terrain,0.527587,4.070251,89.917994,3.275465,11.563185
flat_terrain_0080,flat_terrain,0.458810,6.614433,94.718792,5.736932,13.179074
mixed_terrain_0026,mixed_terrain,0.504377,4.302955,88.688688,3.637394,17.987893
rough_terrain_0060,rough_terrain,0.655970,6.582614,90.327483,5.123444,20.525477
rough_terrain_0001,rough_terrain,0.580151,5.483901,64.644297,4.326368,13.451346
flat_terrain_0088,flat_terrain,0.469434,2.209552,87.020566,1.787907,5.139105
mixed_terrain_0081,mixed_terrain,0.561533,8.986977,77.447422,6.867932,39.825695
rough_terrain_0031,rough_terrain,0.613254,5.020057,91.786055,3.961387,30.610987
rough_terrain_0079,rough_terrain,0.698099,2.149187,85.674331,1.759809,6.229974
flat_terrain_0095,flat_terrain,0.477593,3.509153,85.920229,3.073163,8.783898
rough_terrain_0086,rough_terrain,0.716766,3.608088,91.591201,3.040239,8.039628
mixed_terrain_0017,mixed_terrain,0.496677,2.374218,86.307993,1.872316,6.109121
rough_terrain_0000,rough_terrain,0.576819,3.118276,78.936663,2.575985,6.943149
flat_terrain_0036,flat_terrain,0.401934,6.304107,90.693944,4.884124,15.487698
mixed_terrain_0030,mixed_terrain,0.506464,4.318139,80.583794,3.610644,9.470511
mixed_terrain_0016,mixed_terrain,0.496002,6.039217,92.057731,5.007497,28.200959
mixed_terrain_0014,mixed_terrain,0.492841,6.454393,84.692197,5.422986,23.123548
flat_terrain_0098,flat_terrain,0.480483,7.742408,87.275014,6.203760,33.020499
rough_terrain_0077,rough_terrain,0.695109,12.101108,57.650563,10.059779,24.963230
flat_terrain_0066,flat_terrain,0.441453,6.362889,93.564918,5.439916,20.121125
mixed_terrain_0039,mixed_terrain,0.514166,5.449682,91.973680,4.541209,19.974951
mixed_terrain_0023,mixed_terrain,0.503228,5.305062,97.043047,4.211294,12.353738
mixed_terrain_0006,mixed_terrain,0.485449,3.763552,93.155663,3.160229,8.522373
flat_terrain_0040,flat_terrain,0.413238,6.928863,93.464133,5.863028,15.071880
flat_terrain_0053,flat_terrain,0.429431,5.923921,76.591147,4.585938,18.617414
flat_terrain_0077,flat_terrain,0.456431,7.427336,87.578121,5.857119,23.807331
rough_terrain_0038,rough_terrain,0.617557,6.400550,74.580364,4.834444,17.047338
flat_terrain_0034,flat_terrain,0.397534,4.947067,93.301025,4.126126,10.323566
mixed_terrain_0071,mixed_terrain,0.550598,3.378004,87.070428,2.807417,6.742920
mixed_terrain_0038,mixed_terrain,0.514098,6.875601,96.938686,5.584169,28.486214
