profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29
medium_roughness_0225,medium_roughness,85.0,85.0,100.0,100.0,294.7251892089844,0.00011850638111354783,0.0001094634280889295,348.25439453125,0.00037093678838573396,8.839714428177103e-05,780.2208251953125,98.4094009399414,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,784.0323486328125,1176.9283447265625,4.258290573488921e-05,778.177734375,0.00013684984878636897,3.9264195947907865e-05
high_roughness_0027,high_roughness,85.0,85.0,100.0,100.0,833.7901000976562,0.001150263473391533,98.1090087890625,398.9648132324219,0.005433411803096533,30.557777404785156,0.0003262519312556833,848.3126220703125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,846.4655151367188,0.015416359528899193,6.309084710665047e-05,0.0004006842791568488,594.5607299804688,0.0001034906308632344
high_roughness_0066,high_roughness,85.0,85.0,100.0,100.0,208.1390838623047,31.593429565429688,43.110496520996094,131.71778869628906,37.18650817871094,48.81562805175781,0.02569158747792244,177.38311767578125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,197.67782592773438,25.0488224029541,0.0030427412129938602,0.08597001433372498,384.4521484375,0.003254725830629468
high_roughness_0379,high_roughness,85.0,85.0,100.0,100.0,1012.8674926757812,121.2666015625,844.84326171875,409.7477111816406,0.0001542750687804073,0.7054039835929871,0.00012335536302998662,857.1668090820312,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,934.4520263671875,1.3757359738519881e-05,7.406410986732226e-06,0.00015997780428733677,988.0233154296875,6.469631898653461e-06
high_roughness_0234,high_roughness,85.0,85.0,100.0,100.0,0.000201151124201715,168.8460693359375,244.29518127441406,0.0001673602673690766,0.00013042823411524296,0.0005089828046038747,72.1640396118164,643.5078735351562,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,659.7451782226562,0.000179848080733791,5.517723548109643e-05,760.4117431640625,1092.986328125,5.902948760194704e-05
high_roughness_0333,high_roughness,85.0,85.0,100.0,100.0,849.7763671875,296.72064208984375,336.88726806640625,4.5231445255922154e-05,1.466388494009152e-05,3.038070644834079e-05,6.606217539228965e-06,555.9813232421875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,778.4253540039062,3.313097477075644e-05,7.261281552928267e-06,1.6055337255238555e-05,1184.4945068359375,7.847668712201994e-06
medium_roughness_0101,medium_roughness,85.0,85.0,100.0,100.0,0.002381975529715419,328.77630615234375,360.6089782714844,0.0010571397142484784,0.00047231579083018005,0.00010346320050302893,131.89097595214844,204.7871551513672,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,250.1608123779297,0.00013036458403803408,5.930761471972801e-05,304.60943603515625,812.355712890625,6.0570640926016495e-05
medium_roughness_0021,medium_roughness,85.0,85.0,100.0,100.0,836.8658447265625,672.5702514648438,6.222243246156722e-05,119.98544311523438,1.5177630302787293e-05,1.6949903510976583e-05,2.9181243007769808e-05,4.061557410750538e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,7.590850873384625e-05,0.0005298050818964839,6.912501703482121e-06,8.388053538510576e-05,1.0555014341662172e-05,7.005238330748398e-06
high_roughness_0247,high_roughness,85.0,85.0,100.0,100.0,366.9376525878906,548.0779418945312,0.00023985255393199623,160.021240234375,45.52415084838867,0.0327044315636158,286.0853271484375,7.560695667052642e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,8.639068983029574e-05,323.422119140625,191.36619567871094,281.13824462890625,7.048336556181312e-05,0.00011426208220655099
low_roughness_0253,low_roughness,85.0,85.0,100.0,100.0,95.74574279785156,0.0004788739897776395,0.003022938733920455,0.0001622511335881427,0.00021293478494044393,11.444607734680176,0.0001107959178625606,1028.3067626953125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1033.1785888671875,63.10012435913086,0.0029412549920380116,0.00011736968735931441,1190.26904296875,358.83843994140625
low_roughness_0175,low_roughness,85.0,85.0,100.0,100.0,915.3292236328125,0.00019811672973446548,0.0001620907714823261,489.2178039550781,0.0024292967282235622,0.00013790941738989204,0.0003495671262498945,1032.7308349609375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1049.048828125,1036.215576171875,5.387908913689898e-06,0.00037159412750042975,699.129150390625,1.3907559150538873e-05
medium_roughness_0258,medium_roughness,85.0,85.0,100.0,100.0,1049.181640625,0.00053834926802665,205.6273651123047,1.8940439986181445e-05,2.7830883482238278e-05,0.00032283307518810034,4.029535921290517e-05,1006.0570678710938,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1019.6024169921875,0.004246205557137728,2.3699756638961844e-05,6.254803156480193e-05,1412.295166015625,2.75197671726346e-05
low_roughness_0066,low_roughness,85.0,85.0,100.0,100.0,35.68120574951172,144.08602905273438,121.3695068359375,42.74005126953125,76.54703521728516,0.022881466895341873,0.002010027877986431,226.44786071777344,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,221.94696044921875,0.003954450134187937,0.0009103315533138812,0.002742825308814645,559.9490966796875,1.6755284070968628
medium_roughness_0382,medium_roughness,85.0,85.0,100.0,100.0,0.009558972902595997,491.530029296875,0.0003263415419496596,598.5579833984375,0.008323444984853268,0.00012664370296988636,559.4818115234375,0.00035243367892690003,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0005757948383688927,958.4924926757812,1.2483414138841908e-05,620.870849609375,0.00030558957951143384,1.44201012517442e-05
high_roughness_0108,high_roughness,85.0,85.0,100.0,100.0,511.5028991699219,0.00024171483528334647,0.0012193634174764156,0.00010805900092236698,5.051982498116558e-06,255.06619262695312,0.00016968153067864478,1064.9532470703125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1061.811279296875,5.8420406276127324e-05,167.2164306640625,0.00023873470490798354,1372.1533203125,1084.0924072265625
high_roughness_0021,high_roughness,85.0,85.0,100.0,100.0,6.165891682030633e-05,1077.30810546875,125.14178466796875,6.481760647147894e-05,8.01618880359456e-05,0.0003093778796028346,1196.8162841796875,899.8102416992188,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0011383816599845886,0.00012627479736693203,79.55058288574219,1224.9765625,1251.5721435546875,466.29736328125
high_roughness_0207,high_roughness,85.0,85.0,100.0,100.0,0.00015732979227323085,0.001149415853433311,0.0015090295346453786,0.00014925465802662075,0.00014901770919095725,34.76375198364258,981.1322631835938,907.3629760742188,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,869.5303955078125,199.1246337890625,622.775634765625,1025.901611328125,1160.262939453125,645.5609741210938
medium_roughness_0389,medium_roughness,85.0,85.0,100.0,100.0,649.874267578125,0.0011361384531483054,305.9503479003906,0.00020040043455082923,0.0002037303347606212,0.0030127570498734713,5.522239735000767e-05,905.4629516601562,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,918.34326171875,0.00021029417985118926,0.00014098588144406676,5.585920371231623e-05,1150.4586181640625,0.00022271233319770545
high_roughness_0017,high_roughness,85.0,85.0,100.0,100.0,0.0003836841497104615,812.6705322265625,281.74371337890625,0.0003523385676089674,0.0003125085204374045,0.0005583888269029558,894.5249633789062,0.0005530922790057957,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0005675922147929668,281.2820129394531,0.00016801025776658207,911.9174194335938,839.4150390625,0.0001342547038802877
medium_roughness_0154,medium_roughness,85.0,85.0,100.0,100.0,0.00020680770103354007,1012.9984130859375,354.83270263671875,0.00012460490688681602,7.606901635881513e-05,1.8605889636091888e-05,822.4092407226562,0.00017235602717846632,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.00024985516211017966,5.800505095976405e-05,1.982584763027262e-05,903.1968383789062,968.1812744140625,1.6479252735734917e-05
medium_roughness_0310,medium_roughness,85.0,85.0,100.0,100.0,122.01052856445312,860.2697143554688,427.7709045410156,216.3831024169922,8.607917698100209e-05,8.827112469589338e-05,79.83305358886719,0.00012078366853529587,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.00018624203221406788,0.0031544282101094723,3.597077693484607e-06,495.7756652832031,0.00014139276754576713,2.1545413346757414e-06
low_roughness_0133,low_roughness,85.0,85.0,100.0,100.0,0.0006542560295201838,631.3713989257812,0.0001666253519942984,0.0017569403862580657,76.50064086914062,2.176785346819088e-05,882.3319702148438,0.00034383925958536565,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0004343576729297638,1312.072998046875,0.0010070939315482974,885.9866943359375,115.15583038330078,0.0005763663211837411
medium_roughness_0159,medium_roughness,85.0,85.0,100.0,100.0,0.00011204907787032425,298.0335998535156,572.5028686523438,7.278060365933925e-05,5.7071058108704165e-05,2.1752621250925586e-05,1077.6552734375,886.6170043945312,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,702.3338012695312,1.4155510143609717e-05,2.956598655146081e-05,1112.798095703125,1284.8541259765625,2.971407593577169e-05
medium_roughness_0166,medium_roughness,85.0,85.0,100.0,100.0,6.995695730438456e-05,1207.768798828125,13.891377449035645,708.6436157226562,8.153936505550519e-05,1.2611214970092988e-06,908.8745727539062,2.7324625989422202e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,3.8404290535254404e-05,1018.626953125,4.581242137646768e-06,1083.69482421875,3.124456270597875e-05,5.551675258175237e-06
low_roughness_0143,low_roughness,85.0,85.0,100.0,100.0,0.0002021556720137596,883.8812866210938,86.5912857055664,0.00016143135144375265,0.000156927781063132,0.0009616545285098255,970.1175537109375,615.6697998046875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,76.8656997680664,0.006724721752107143,0.00027190890978090465,1003.5132446289062,1156.69287109375,0.0007348410435952246
medium_roughness_0178,medium_roughness,85.0,85.0,100.0,100.0,84.22966003417969,281.29449462890625,256.96929931640625,209.48422241210938,0.001121144276112318,0.00017913860210683197,0.0011468665907159448,0.007999839261174202,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,33.46829605102539,0.00034386743209324777,1.0734469469753094e-05,0.0044903685338795185,533.1305541992188,1.1964142686338164e-05
medium_roughness_0317,medium_roughness,85.0,85.0,100.0,100.0,785.887939453125,0.0002493774809408933,0.00021120253950357437,45.98747253417969,0.0024605959188193083,0.00021776443463750184,450.09600830078125,946.641357421875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,977.40869140625,1130.40478515625,63.426002502441406,0.004193610977381468,224.1089324951172,0.0018417277606204152
low_roughness_0374,low_roughness,85.0,85.0,100.0,100.0,770.881591796875,0.00020444007532205433,3.4437405702192336e-05,0.042078908532857895,2.30574696615804e-05,354.968994140625,0.0006650002324022353,662.8387451171875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,717.9935913085938,96.10541534423828,7.2248235483129974e-06,0.0005826376145705581,413.8628234863281,5.904803401790559e-06
medium_roughness_0193,medium_roughness,85.0,85.0,100.0,100.0,547.2537841796875,0.0005803928361274302,0.004769907798618078,0.00021571484103333205,0.00025319785345345736,53.7778205871582,8.414147305302322e-05,969.988525390625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,972.28173828125,135.9915771484375,0.0008564859163016081,8.255511056631804e-05,1037.564697265625,27.371910095214844
medium_roughness_0364,medium_roughness,85.0,85.0,100.0,100.0,154.22479248046875,0.0004444176738616079,0.0003992115380242467,0.0009409670019522309,0.0007863341015763581,0.00036909704795107245,600.0701293945312,823.496826171875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,853.2911376953125,949.8985595703125,0.0004621405096258968,0.0026516227517277002,587.5299072265625,0.0003973353886976838
