profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
mixed_terrain_0011,mixed_terrain,0.490797,8.415168,85.632451,6.852854,18.545003
flat_terrain_0023,flat_terrain,0.384987,14.613298,88.299172,11.468555,31.846425
rough_terrain_0056,rough_terrain,0.645552,8.803106,71.457517,7.634163,24.821524
rough_terrain_0078,rough_terrain,0.695135,10.856590,81.967477,8.190287,33.676442
flat_terrain_0058,flat_terrain,0.435903,12.883905,74.837748,10.989226,44.911219
rough_terrain_0099,rough_terrain,0.857591,23.721535,74.311726,19.814757,92.881080
rough_terrain_0076,rough_terrain,0.690913,14.497697,51.067785,11.792505,28.789051
rough_terrain_0059,rough_terrain,0.652247,25.106078,79.750718,20.751476,70.484157
mixed_terrain_0073,mixed_terrain,0.550856,17.572159,78.695714,13.562217,96.851931
mixed_terrain_0028,mixed_terrain,0.505915,12.973740,85.451352,10.201614,49.869570
rough_terrain_0024,rough_terrain,0.604671,14.070355,83.124364,10.504686,52.925748
mixed_terrain_0018,mixed_terrain,0.496738,11.202732,58.603590,8.952104,25.164276
rough_terrain_0009,rough_terrain,0.584662,8.181979,85.122551,6.604884,21.636707
rough_terrain_0091,rough_terrain,0.729482,24.528183,66.444956,21.532615,46.571988
flat_terrain_0093,flat_terrain,0.472505,6.605860,72.413871,5.066606,16.359289
rough_terrain_0025,rough_terrain,0.604889,24.755914,73.452400,21.197247,45.908424
rough_terrain_0055,rough_terrain,0.645299,11.942035,53.746199,8.194070,30.596717
mixed_terrain_0082,mixed_terrain,0.561797,21.852062,78.401047,18.219045,45.013251
rough_terrain_0048,rough_terrain,0.632595,24.914127,64.789341,20.894737,40.285524
rough_terrain_0040,rough_terrain,0.620439,20.334625,69.324281,17.569820,35.859287
flat_terrain_0033,flat_terrain,0.395484,10.030110,74.896104,8.006672,43.434183
rough_terrain_0050,rough_terrain,0.633950,9.482185,66.399995,8.010760,21.707928
flat_terrain_0029,flat_terrain,0.389886,25.295561,72.363508,19.683060,71.756881
flat_terrain_0082,flat_terrain,0.461203,12.080986,88.811522,8.760479,62.698179
mixed_terrain_0000,mixed_terrain,0.480756,4.698640,77.538625,3.573584,17.920135
flat_terrain_0063,flat_terrain,0.439124,14.463072,84.563285,11.062793,50.601781
rough_terrain_0069,rough_terrain,0.682696,20.333582,59.991151,17.406728,50.422232
mixed_terrain_0078,mixed_terrain,0.555310,18.564854,82.554033,15.677409,38.082229
flat_terrain_0032,flat_terrain,0.393854,14.765579,78.197280,12.839209,41.527882
flat_terrain_0091,flat_terrain,0.470024,9.485873,73.998272,8.143222,21.813295
