source,cross_stiffness_k,cross_rest_scale,internal_stiffness_k,default_mean_rmse_nm,bounded_fit_mean_rmse_nm,bounded_fit_p90_rmse_nm,nonzero_direct_torque_springs
rank_10_candidate_0091.json,10.0,0.9,90.0,61.80105564249118,16.634311646929092,28.732747917208492,36
rank_10_candidate_0091.json,10.0,1.0,90.0,62.15574824362752,16.550772085577613,28.314260535753036,36
rank_11_candidate_0074.json,5.0,0.9,90.0,53.501072617091985,12.095733941936778,21.691034856487402,36
rank_11_candidate_0074.json,5.0,1.0,90.0,53.50837127610496,12.073307684902138,21.475019678457254,36
rank_11_candidate_0074.json,10.0,0.9,90.0,55.651699886099586,12.155276751406834,21.652126362687067,36
rank_11_candidate_0074.json,10.0,1.0,90.0,55.67709122781938,12.149124100288912,21.561215503891496,36
rank_12_candidate_0228.json,5.0,0.9,90.0,53.001045708436756,12.791693496865099,23.06616741444188,36
rank_12_candidate_0228.json,5.0,1.0,90.0,53.07534225608174,12.703912751390297,23.013589146385677,36
rank_12_candidate_0228.json,10.0,0.9,90.0,55.40219365322726,12.597586336236448,22.919686307700324,36
rank_12_candidate_0228.json,10.0,1.0,90.0,55.595682888632055,12.565000681874874,22.84500574099255,36
rank_13_candidate_0051.json,5.0,0.9,90.0,57.8278238838212,15.988974433973905,28.117293773438323,36
rank_13_candidate_0051.json,5.0,1.0,90.0,57.965301877078105,15.852412329816556,28.02920142194308,36
rank_13_candidate_0051.json,10.0,0.9,90.0,61.44549620676653,15.841255288585998,28.0572538974322,36
rank_13_candidate_0051.json,10.0,1.0,90.0,61.76791229237815,15.742107386013297,28.06212179076749,36
rank_14_candidate_0157.json,5.0,0.9,90.0,56.953458731897896,14.464962025249571,27.13389949058117,36
rank_14_candidate_0157.json,5.0,1.0,90.0,57.02551025593077,14.32157670574099,26.100823999735827,36
rank_14_candidate_0157.json,10.0,0.9,90.0,60.06897224085037,14.248319214502905,25.479729512329452,36
rank_14_candidate_0157.json,10.0,1.0,90.0,60.237570734019826,14.164879073427665,25.422074675344643,36
rank_15_candidate_0207.json,5.0,0.9,90.0,56.01056620872803,14.831570848993412,26.583865677989298,36
rank_15_candidate_0207.json,5.0,1.0,90.0,56.12904298809425,14.73959559643979,26.215296178254945,36
rank_15_candidate_0207.json,10.0,0.9,90.0,59.14915243001751,14.753004424737,26.008731136272896,36
rank_15_candidate_0207.json,10.0,1.0,90.0,59.43302735618262,14.67941745733481,26.014801235718657,36
rank_16_candidate_0202.json,5.0,0.9,90.0,51.861705972058495,11.745963484297086,21.370150674398673,36
rank_16_candidate_0202.json,5.0,1.0,90.0,51.908478248065286,11.71813866975835,21.351347771766438,36
rank_16_candidate_0202.json,10.0,0.9,90.0,53.78320246934591,11.689475233016225,21.2979851297322,36
rank_16_candidate_0202.json,10.0,1.0,90.0,53.91225678747658,11.66057394425764,21.26831682475509,36
rank_17_candidate_0161.json,5.0,0.9,90.0,55.68122800345375,12.473906653819427,23.62637980771086,36
rank_17_candidate_0161.json,5.0,1.0,90.0,55.6456350838409,12.361625052062411,23.49729361940444,36
rank_17_candidate_0161.json,10.0,0.9,90.0,57.94372119110774,12.194135533456542,23.666432257027875,36
rank_17_candidate_0161.json,10.0,1.0,90.0,57.86971699038619,12.10332579512055,23.53991973746407,36
rank_18_candidate_0138.json,5.0,0.9,90.0,53.30632768353088,12.534543315786571,23.498831022343136,36
rank_18_candidate_0138.json,5.0,1.0,90.0,53.325871988298374,12.519207808140973,23.494766636971697,36
rank_18_candidate_0138.json,10.0,0.9,90.0,55.46264553401598,12.541066716896262,23.595103955628318,36
rank_18_candidate_0138.json,10.0,1.0,90.0,55.51533187788531,12.5280209739153,23.5968894690222,36
rank_19_candidate_0153.json,5.0,0.9,90.0,57.67192141003348,15.5532642591641,29.34082928776138,36
rank_19_candidate_0153.json,5.0,1.0,90.0,57.69819933351723,15.373868211932987,28.71406243315107,36
rank_19_candidate_0153.json,10.0,0.9,90.0,60.64526287284862,15.483422947474939,28.947203325218815,36
rank_19_candidate_0153.json,10.0,1.0,90.0,60.710125783987564,15.338885350908026,28.487422076749976,36
rank_20_candidate_0118.json,5.0,0.9,90.0,51.42597855818868,11.981888316946584,21.73521414910453,36
rank_20_candidate_0118.json,5.0,1.0,90.0,51.47383271696847,11.928995384262057,21.70765010528875,36
rank_20_candidate_0118.json,10.0,0.9,90.0,53.23138430871181,11.885938360565369,21.665927398493135,36
rank_20_candidate_0118.json,10.0,1.0,90.0,53.370477286297294,11.862214268614593,21.64048019188577,36
rank_21_candidate_0069.json,5.0,0.9,90.0,53.48929361068855,13.592989974768482,23.989034108539222,36
rank_21_candidate_0069.json,5.0,1.0,90.0,53.57244161104031,13.483240159453363,23.978527842428253,36
rank_21_candidate_0069.json,10.0,0.9,90.0,55.99768727961164,13.342854723955972,23.934090736838286,36
rank_21_candidate_0069.json,10.0,1.0,90.0,56.209457853253184,13.312956877132084,23.922098976595194,36
rank_22_candidate_0048.json,5.0,0.9,90.0,54.50049467915484,17.08627912781052,28.532257878976434,36
rank_22_candidate_0048.json,5.0,1.0,90.0,54.608520215694924,16.941414977755993,28.54079139098203,36
rank_22_candidate_0048.json,10.0,0.9,90.0,57.417793747805376,16.929716390880657,28.481464580194867,36
rank_22_candidate_0048.json,10.0,1.0,90.0,57.68713865717244,16.754556043385502,28.493713451695008,36
rank_23_candidate_0128.json,5.0,0.9,90.0,53.276550098080214,12.297489114431547,22.65509185642416,36
rank_23_candidate_0128.json,5.0,1.0,90.0,53.285582319946045,12.270499302421815,22.64876992275606,36
rank_23_candidate_0128.json,10.0,0.9,90.0,55.31816406357329,12.238136100840755,22.68614854338398,36
rank_23_candidate_0128.json,10.0,1.0,90.0,55.34382133262676,12.210299389710515,22.67967746141813,36
rank_24_candidate_0065.json,5.0,0.9,90.0,57.273845072502354,17.61158611676843,30.246753199000523,36
rank_24_candidate_0065.json,5.0,1.0,90.0,57.424282779487704,17.504007598117965,30.285271785827618,36
rank_24_candidate_0065.json,10.0,0.9,90.0,60.92175321503428,17.396885093861528,30.22488238842628,36
rank_24_candidate_0065.json,10.0,1.0,90.0,61.27937146774027,17.350496152608695,30.25759877449743,36
